case_num,label,pipeline,unroll,array_partition,clock_ns,dsp,lut,ff,bram,latency,interval,ii,achieved_ns,timing_ok,status
1,baseline,FALSE,1,FALSE,5,1,327,184,1,139,140,-1,2.474,TRUE,ok
2,pipeline_only,TRUE,1,FALSE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
3,pipeline_ap,TRUE,1,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
4,unroll2,TRUE,2,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
5,unroll4,TRUE,4,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
6,unroll8,TRUE,8,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
7,unroll16,TRUE,16,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
8,unroll32,TRUE,32,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
9,unroll64,TRUE,64,TRUE,5,26,886,1893,0,5,1,1,3.392,TRUE,ok
10,clk4ns,TRUE,8,TRUE,4,26,886,1953,0,6,1,1,3.392,TRUE,ok
11,clk3ns,TRUE,8,TRUE,3,26,854,2046,0,6,1,1,3.81,TRUE,-0.81
12,clk2ns,TRUE,8,TRUE,2,26,1110,3471,0,8,1,1,2.54,TRUE,-0.54
13,clk1ns,TRUE,8,TRUE,1,44,540,3531,0,9,1,1,1.27,TRUE,-0.27
14,aggressive_4ns,TRUE,64,TRUE,4,26,886,1953,0,6,1,1,3.392,TRUE,ok
15,aggressive_2ns,TRUE,64,TRUE,2,26,1110,3471,0,8,1,1,2.54,TRUE,-0.54
16,iterative_restructure,FALSE,1,FALSE,5,1,202,187,1,71,72,-1,2.831,TRUE,ok
17,iterative_ap_5ns,FALSE,1,TRUE,5,1,202,187,1,71,72,-1,2.831,TRUE,ok
18,iterative_ap_2ns,FALSE,1,TRUE,2,1,234,314,1,74,75,-1,1.717,TRUE,ok
